[2026-04-01 12:00:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.01
[2026-04-01 12:05:11] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.08
[2026-04-01 12:10:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 12:15:11] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 12:20:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.17
[2026-04-01 12:25:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.06
[2026-04-01 12:30:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 12:35:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 12:40:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 12:45:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 12:50:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 12:55:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 13:00:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 13:05:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.08
[2026-04-01 13:10:11] AEGIS SCAN -> Connexions Actives : 7 | Charge CPU : 0.04
[2026-04-01 13:15:11] AEGIS SCAN -> Connexions Actives : 8 | Charge CPU : 0.06
[2026-04-01 13:20:11] AEGIS SCAN -> Connexions Actives : 9 | Charge CPU : 0.02
[2026-04-01 13:25:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 13:30:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 13:35:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 13:40:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 13:45:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 13:50:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 13:55:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 14:00:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 14:05:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 14:10:11] AEGIS SCAN -> Connexions Actives : 8 | Charge CPU : 0.05
[2026-04-01 14:15:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 14:20:11] AEGIS SCAN -> Connexions Actives : 7 | Charge CPU : 0.05
[2026-04-01 14:25:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.02
[2026-04-01 14:30:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 14:35:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 14:40:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 14:45:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.10
[2026-04-01 14:50:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 14:55:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 15:00:11] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.01
[2026-04-01 15:05:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 15:10:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.01
[2026-04-01 15:15:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 15:20:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.02
[2026-04-01 15:25:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 15:30:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 15:35:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 15:40:11] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.01
[2026-04-01 15:45:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.06
[2026-04-01 15:50:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 15:55:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 16:00:11] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.05
